Mult_Handles,Rank,First,MI,Nickname,Last,Suffix,Retired,Service,user_name,user_id,user_description,Professional.nonmil,Professional.mil,Ac_TT,Politician,Private,female,reservist,job,Notes,LI.Handle,Tw.in.LI,Linkedin,Accusation,Reference,
NA,BG,ROY,,,AGUSTIN,,5/1/2019,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/royagustin?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3ByooRcobfSbuQPDiy%2F6mTxQ%3D%3D,,,
NA,LTG,ROBERT,R.,,ALLARDICE,,9/1/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/bob-allardice-30272328?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BPj2EeFb2SuSNQfkMr8oqTA%3D%3D,,,
NA,BG,RONALD,G.,,ALLEN,,11/1/2020,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/ronald-g-allen?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BBYo7VpsXROmOjn2KXDpxUA%3D%3D,,,
NA,MG,C.,DONALD,,ALSTON,,9/1/2012,Air Force,alstonstrategic,,,0,0,0,0,0,0,0,missile,gender from bio,,,https://www.linkedin.com/in/don-alston-8674055b?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BvobrEMvARTWT9q3CTkHsZA%3D%3D,,,
NA,MG,THOMAS,K.,,ANDERSEN,,1/1/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/tom-andersen-b4096223?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B9FuawecxQ2m0%2BFj6uKBM2A%3D%3D,,,
NA,MG,MARK,W.,,ANDERSON,,6/24/2011,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mark-anderson-3962a587,,,
NA,LTG,SALVATORE,A.,,ANGELELLA,,8/1/2015,Air Force,SamAngelella,2873476090,,0,0,0,0,0,0,0,pilot,,SamAngelella,y,https://www.linkedin.com/in/sam-angelella-a5a08017?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BPOOz1F9mT5eeJaI4x1JZkg%3D%3D,,,
NA,BG,ANDREW,P.,,ARMACOST,,12/1/2019,Air Force,,,,0,0,0,0,0,,,,,USAFA_Dean,y,https://www.linkedin.com/in/andrewarmacost?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bl57D%2FsxuRiOVhDuL7mDysA%3D%3D,,,
NA,BG,ROBERT,G.,,ARMFIELD,,11/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,STEVEN,J.,,ARQUIETTE,,8/1/2014,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/stevearquiette?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B6ISuFT69SBus5QB9nL1%2Bfg%3D%3D,,,
NA,BG,ROBERT,S.,,ARTHUR,,9/15/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/bob-arthur-725b5659?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BMQu5rzNpSSamFvt5kucI3Q%3D%3D,,,
NA,LTG,DANA,T.,,ATKINS,,1/1/2012,Air Force,MOAAPrez,174759149,"President of the Military Officers Association of America, advocate for servicemembers and their families. Retired USAF Lt. Gen. Husband, father, & grandfather.",1,0,0,0,0,0,0,pilot,,,,,,,
NA,MG,MARK,A.,,ATKINSON,,10/1/2014,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mark-atkinson-a804bb95?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BHiYoJeToSeW1UgDbrWxZzw%3D%3D,,,
NA,MG,CHRISTOPHER,P.,,AZZANO,,10/1/2021,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/christopher-azzano-4bca360?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BiWueujboRqunASQFNtAYlQ%3D%3D,,,
NA,BG,DONALD,J.,,BACON,,11/1/2014,Air Force,RepDonBacon,8.19E+17,"Serving the great people of NE-02 ðŸ‡ºðŸ‡¸. Married to Angie, 4 kids, 6 grandkids. Brig Gen â­ï¸ USAF (Ret.) Policy questions? Visit://bacon.house.gov",1,0,0,1,0,0,0,nav,gender from congress website,,,https://www.linkedin.com/in/donbacon?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bb9mjLwm%2FT4CElnFSn6GfqQ%3D%3D,,,
NA,BG,ROBERT,E.,,BAILEY,,6/21/2011,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/robert-bailey-82a7272b?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B7Y8BGn%2F1SqO09rRIjAjq2g%3D%3D,,,
NA,BG,MARK,A.,,BAIRD,,8/31/2019,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mark-baird-b6002256?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bpy%2FcuIhfQB6Evq842%2BJzgw%3D%3D,,,
NA,BG,CRAIG,R.,,BAKER,,7/1/2021,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/craigblutobaker?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bt%2FgmJnZyTYuSkqSA0uzDLw%3D%3D,,,
NA,MG,H.,BRENT,,BAKER,,12/1/2015,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/howard-brent-baker-60991290?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B5KuqLm%2FiShapfIo%2FLRCowA%3D%3D,,,
NA,LTG,JOHN,D.,,BANSEMER,,3/1/2019,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/john-bansemer-bab27922?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BFGbSsQBkSBK4abxcr%2FYnCA%3D%3D,,,
NA,BG,DIETER,E.,,BAREIHS,,12/1/2018,Air Force,DBareihs,3292928318,,0,0,0,0,0,0,0,pilot,,,,https://www.linkedin.com/in/dieterbareihs?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BJvkWKdGVRZ%2B2p8ZuGcDBmQ%3D%3D,,,
NA,BG,JEFFREY,K.,,BARNSON,,3/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,MARK,A.,,BARRETT,,6/1/2014,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mark-barrett-a6337227?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BUsZKMGpHQtiDUGJLzuAsWg%3D%3D,,,
NA,LTG,BROOKS,L.,,BASH,,8/1/2015,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/brooksbash?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BjN7HsNvsTqOsF6o77han9g%3D%3D,,,
NA,LTG,MICHAEL,J.,,BASLA,,11/1/2014,Air Force,BaslaMichael,1.18E+18,,0,0,0,0,0,0,0,comm,,,,https://www.linkedin.com/in/michael-basla-7a412159?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BgpzArxftSHSb0SXU5iohWw%3D%3D,,,
NA,MG,CURTIS,,,BEDKE,,4/1/2010,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/curtis-bedke-85013421?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bw1oXvVizR86hlK97UnRBjQ%3D%3D,,,
NA,BG,DAVID,B.,,BEEN,,8/1/2016,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/david-b%C3%A9en-81673b117?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BwigR0R7pThSBFTbC%2Bv6lag%3D%3D,,,
NA,BG,ROBERT,J.,,BELETIC,,11/1/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/robertbeletic?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BaCJylmJjT%2BGhAbCWnbyG3w%3D%3D,,,
NA,MG,CHRISTOPHER,J.,,BENCE,,12/1/2018,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,LTG,WILLIAM,J.,"""Bill""",BENDER,,8/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/william-bender-12863229?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B%2BpAPs8qnQTCq9rN370%2F2sw%3D%3D,,,
NA,BG,BRYAN,J.,,BENSON,,1/1/2012,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/bryan-benson-4988b543?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B9THG05P%2BQGq0E3%2BpqwTHuQ%3D%3D,,,
NA,LTG,THOMAS,W.,,BERGESON,,9/1/2020,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,SCOTT,A.,,BETHEL,,8/1/2012,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,WILLIAM,B.,,BINGER,,7/1/2016,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/bill-binger-ba871613?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BxyfCitZtQJC%2BocTIC%2BQq2g%3D%3D,,,
NA,LTG,GREGORY,A.,,BISCONE,,6/30/2016,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/greg-biscone-289824123?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BR9X24NOCSLCgYB48QQk%2BGg%3D%3D,,,
NA,MG,BRIAN,T.,,BISHOP,,7/1/2015,Air Force,bbopf16,905737262,,0,0,0,0,0,0,0,pilot,,,,https://www.linkedin.com/in/briantbishop1?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BYEsJX7oOThCctaKZ%2F1SlfQ%3D%3D,,,
NA,MG,CASEY,D.,,BLAKE,,8/1/2018,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/caseydblake?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B5jrTE8ryRnGSNtASii%2FlEw%3D%3D,,,
NA,BG,GARY,,,BLASZKIEWICZ,,2/2/2015,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/gary-blaszkiewicz-063a177?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BxYMEgl2FR8%2B4wwkg9ZUqmw%3D%3D,,,
NA,BG,STEVEN,J.,,BLEYMAIER,,9/1/2019,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/steven-bleymaier?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BFEtnpAkLSc6Ll5vpDeXPlg%3D%3D,,,
NA,MG,MICHAEL,R.,,BOERA,,6/1/2014,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/michaelrboera?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BockTtuwiSxaixzfYTi0ifg%3D%3D,,,
NA,LTG,CHRISTOPHER,C.,,BOGDAN,,7/1/2017,Air Force,Christo06027964,1.19E+18,,0,NA,0,0,0,0,0,pilot,unlikely,,,https://www.linkedin.com/in/general-christopher-bogdan-5ab11a105?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B7bmq7%2BDlSsiW%2BMbv5CqPEg%3D%3D,,,
NA,MG,EDWARD,L.,,BOLTON,,10/1/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/edward-l-bolton-jr-a0375762?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BtgiSjTQaSHqpOGlsfRpGxw%3D%3D,,,
NA,MG,JOHN,H.,,BORDELON,,8/5/2010,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,DANA,H.,,BORN,,10/1/2013,Air Force,dana_born,1.22E+18,,0,0,0,0,0,1,0,scientist,,,,https://www.linkedin.com/in/dana-born-07251426?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BM02xJwkxTfygTV%2FJCiXN%2Bw%3D%3D,,,
NA,LTG,TED,F.,,BOWLDS,,10/1/2011,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/tbowlds?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BKXOhuxPVTd%2BOPg8hH7nvyg%3D%3D,,,
NA,GEN,ROGER,A.,,BRADY,,2/1/2011,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/roger-brady-a89aa432?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bxr0rS3C3TKOYS%2FwWZXdKuw%3D%3D,,,
NA,GEN,PHILIP,,,BREEDLOVE,,7/1/2016,Air Force,PMBreedlove,1412685446,"Gen Phil Breedlove's 40-year military career included 9 overseas tours & 8 major commands including Vice Chief USAF, Commander US EUCOM & SACEUR, retired July17",0,0,0,0,0,0,0,pilot,,,,https://www.linkedin.com/in/phil-breedlove-84830895?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BCf0m3P%2BfTiKSvtbAfmqQAw%3D%3D,,,
NA,MG,MICHAEL,T.,,BREWER,,6/1/2020,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/michaelthomasbrewer?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bzi%2F5IR8oQ3ap2P3m1S7khg%3D%3D,,,
NA,MG,JACK,L.,,BRIGGS II,,9/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/jack-briggs-maj-gen-ret-edd-33729a111?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B%2BpiTdkiVSK6SUoHxRAuPfQ%3D%3D,,,
NA,BG,RYAN,L.,,BRITTON,,8/1/2021,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/ryan-britton-4a378020?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BmvXMF5OaTS%2BJjuFNyBjg4g%3D%3D,,,
NA,MG,MARK,ANTHONY,,BROWN,,6/1/2018,Air Force,SFIHBCU,65881146,"Executive Director Student Freedom Initiative

Former Chief Operating Officer Federal Student
 Aid Department of Education

Major General, USAF (Retired)",0,0,0,0,0,0,0,finance,,,,,,,
NA,BG,JAMES,S.,,BROWNE,,10/1/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/james-browne-36956a68?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BXvN9H8HgTMGJ6Q%2FHHtAL%2FA%3D%3D,,,
NA,MG,NORMAN,J.,,BROZENICK,,12/1/2014,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,BRIAN,R.,,BRUCKBAUER,,11/21/2021,Air Force,JBERCommander,2881185224,,0,1,0,0,0,0,0,atc,,,,https://www.linkedin.com/in/brianbruckbauer?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BoHwhnOZWRsStv2%2BNyRsCmw%3D%3D,,,
NA,BG,GREGORY,L.,,BRUNDIDGE,,7/1/2012,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/greg-brundidge-6b4a9235?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bj%2BHbEN%2FaRY%2BWpIasWfqabg%3D%3D,,,
NA,LTG,DAVID,J.,,BUCK,,2/1/2018,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,RONALD,,,BUCKLEY,,11/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/ronbuckley1989?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B2epmH2PcTjGshthTdxDBHA%3D%3D,,,
1,BG,CARL,A.,,BUHLER,,8/1/2018,Air Force,Buhler_Consult,,,1,0,0,0,0,0,0,maintenance,,Buhler_Consult,y,https://www.linkedin.com/in/carlbuhler?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BtES3BkMyQzm4w7OmaAufEg%3D%3D,,,
1,BG,CARL,A.,,BUHLER,,8/1/2018,Air Force,CarlBuhler1,9.02E+17,"#HTTC; #TakeCommand; Die-hard Washington fan; bright 2022 season for the Commanders; love the legends, general history, NFL & ACC sports",0,0,0,0,0,0,0,maintenance,,,,https://www.linkedin.com/in/carlbuhler?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BtES3BkMyQzm4w7OmaAufEg%3D%3D,,,
NA,BG,LANCE,R.,,BUNCH,,8/1/2020,Air Force,LanceBunch,,,0,0,0,0,1,0,0,pilot,,LanceBunch,y,https://www.linkedin.com/in/lancebunch?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B8WeYBgR4SWCwmMekr%2F8rmw%3D%3D,,,
NA,MG,ROGER,W.,,BURG,,9/1/2010,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/rogerwburg?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BA7lcuLoxTC6GTUeuG1wgmQ%3D%3D,,,
NA,MG,DARRYL,W.,,BURKE,,10/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/darrylburkemajgen?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BXA2RCfkHS8iV3PqJlFQLMA%3D%3D,,,
NA,BG,JAMES,J.,"""JAY""",BURKS,,8/1/2018,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/james-jay-burks-fache-ba1432a?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B6JFywTQLRpSkZtMvShrvoQ%3D%3D,,,
NA,LTG,CHRISTOPHER,F.,,BURNE,,7/1/2018,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/chris-burne-450aba67?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B3qx7b%2BtoQoap%2FlYfev4QXA%3D%3D,,,
NA,LTG,ANDREW,E.,,BUSCH,,6/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,MITCHEL,H,,BUTIKOFER,,9/1/2018,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mitchel-h-butikofer?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B7kA%2BaBSaRhmXCZvC9m%2BQMg%3D%3D,,,
NA,MG,TIMOTHY,A.,,BYERS,,9/1/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/tim-byers-0448b473?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BJZoT4hveRjGl%2FXgOB3DctA%3D%3D,,,
NA,MG,ANGELA,,,CADWELL,,8/31/2021,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,JOSEPH,T.,,CALLAHAN III,,1/1/2012,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,MICHAEL,W.,,CALLAN,,10/1/2011,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mike-callan-brig-gen-usaf-ret-a0911a38?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BmD5evU%2FhQ1mwiMc6260SUw%3D%3D,,,
NA,BG,TODD,D.,,CANTERBURY,,7/1/2020,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/todd-canterbury-tales-11b8443b?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BdIOhhbeiRumw26U%2FeZemvg%3D%3D,,,
NA,MG,PAUL,F.,,CAPASSO,,9/1/2011,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/paul-capasso-6407191a?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B5BfUkFkwSKG77ji2u8Ynfg%3D%3D,,,
NA,MG,MICHAEL,J.,,CAREY,,6/1/2014,Air Force,MC2_Space,2702165108,DoD Space pro turned Astropreneur,0,0,0,0,0,0,0,space,,,,,Fraternization,,
NA,GEN,HERBERT,J.,"""HAWK""",CARLISLE,,3/10/2017,Air Force,HerbertGen,2296454263,,0,0,0,0,1,0,0,pilot,,,,,,,
NA,MG,GERARD,A.,,CARON,,7/1/2014,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,FLOYD,L.,,CARPENTER,,8/1/2011,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/floyd-carpenter-0809a241?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bsk%2ByFewOQTeLD3T7vIVcXw%3D%3D,,,
NA,BG,JAMES,J.,,CARROLL,,1/1/2014,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/jim-carroll-9b7a121a/overlay/contact-info/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base%3BdYsw7D1cSRGWg12DAjy5Jw%3D%3D,,,
NA,MG,THERESA,C.,,CARTER,,10/1/2016,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/theresa-carter-dba-pe-8490638?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BmHRueqI8QkGZL2zweAqKBA%3D%3D,,,
NA,BG,SCOTT,D.,,CHAMBERS,,7/1/2011,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/scott-chambers?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B%2BW0GujVMSsCqCV%2BT9LvDPA%3D%3D,Inappropriate comments,,
NA,MG,WILLIAM,A.,,CHAMBERS,,6/1/2013,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,GEN,CARROL,H.,"""HOWIE""",CHANDLER,,3/1/2011,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,MARTIN,A.,,CHAPIN,,10/1/2020,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/marty-chapin-44318394?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BNbUipQuIQXyeWBiN3oFs5Q%3D%3D,,,
NA,BG,JOHN,A.,,CHERREY,,11/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/john-cherrey-47b64389?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BjSAHl2jSQjyxqSurj6s0dQ%3D%3D,,,
NA,GEN,KEVIN,P.,,CHILTON,,2/1/2011,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,CATHERINE,A.,,CHILTON,,11/1/2018,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/cathy-chilton-7055a2a?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BAuJUEgEZQju2JFDSgHLkkA%3D%3D,,,
NA,BG,CARY,C.,,CHUN,,8/1/2012,Air Force,carychun,41754306,,0,0,0,0,0,0,0,space,,,,https://www.linkedin.com/in/brig-gen-ret-cary-chun-04577b23?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BjSoeDdyuQZK3uIKl3tldlw%3D%3D,,,
NA,LTG,KURT,A.,,CICHOWSKI,,1/1/2014,Air Force,CichowskiKurt,1.39E+18,"Retired USAF in Denison, TX",0,0,0,0,0,0,0,pilot,,,,https://www.linkedin.com/in/kurt-cichowski-8b5803b5?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BorLFBzv4T3uOW4MGi3ccbA%3D%3D,,,
NA,MG,STEPHEN,A.,,CLARK,,9/1/2018,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/clarkstephena?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B388KqSDoTP%2B3tgxaV1HCAw%3D%3D,,,
NA,BG,THOMAS,G.,,CLARK,,4/1/2017,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,LTG,STANLEY,E.,,CLARKE III,,3/1/2016,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,JAMES,R.,,CLUFF,,10/1/2020,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/jamescluff406?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BFHxO%2FnSgQ%2FqhNkV75E4S7Q%3D%3D,,,
NA,BG,RICHARD,A.,,COE,,7/1/2018,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/richard-coe?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BhzmosNcZQA6gMFAo1%2B3WTA%3D%3D,,,
NA,BG,CHRISTOPHER,A.,,COFFELT,,7/31/2019,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/christopheracoffelt?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B1aJRnXt5QwerDVtyD%2BJQsw%3D%3D,,,
NA,MG,DAVID,L.,,COMMONS,,9/1/2013,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/david-commons-a733442a?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BGC7nXR%2BFRTmlCLHZ05BNJw%3D%3D,,,
NA,BG,KATHLEEN,A.,,COOK,,11/1/2018,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/kathleencook2018?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BC%2F7IdcGsRcKwzkNXC0gzPw%3D%3D,,,
NA,MG,THOMAS,R.,"""TC""",COON,,10/16/2012,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,LTG,JOHN,B.,,COOPER,,10/1/2018,Air Force,AFCoopA4,3882747974,"Husband, Father, Veteran",0,0,0,0,0,0,0,maintenance/logistics,,,,https://www.linkedin.com/in/johnbarkercooper?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B9iR0%2Ff3UScuiBlL%2FYZDUFA%3D%3D,,,
NA,BG,PATRICK,A.,,CORD,,5/20/2011,Air Force,,,,0,0,0,0,0,,,,,,,,,,
NA,BG,KORY,,,CORNUM,,7/1/2016,Air Force,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/kory-cornum-93352711b?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BuHlvSLflRtqDN9H%2B5lzqrQ%3D%3D,,,
NA,MG,DONDI,E.,,COSTIN,,9/1/2018,Air Force,csuprez,1.01E+18,"@csuniv President, husband, ret. @USAirForce Major General & Chief of Chaplains, Christ follower.",1,0,0,0,0,0,0,chaplain,admin,,,https://www.linkedin.com/in/dondi-e-costin-ph-d-major-general-retired-97119b46?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BvvAEWczBQsOkRbPY8DYFNQ%3D%3D,,,
