Mult_Handles,Rank,First,MI,Nickname,Last,Suffix,Retired,Service,user_name,user_id,user_description,Professional.nonmil,Professional.mil,Ac_TT,Politician,Private,female,reservist,job,Notes,LI.Handle,Tw.in.LI,Linkedin,Accusation,Reference,
NA,MG,Roger,A.,,Nadeau,,5/1/2010,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/roger-nadeau-75931442?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bvbhj53QxQHGjO9e1fux15w%3D%3D,,,
NA,MG,Jennifer,L.,,Napper,,2/1/2014,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/jennifer-napper-6981a475?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3ByK5d5X2sSKuOs%2Bbn4aPkfA%3D%3D,,,
NA,MG,Camille,,,Nichols,,4/1/2017,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/camille-nichols-09841969?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BcgxtRC%2FSTyyyff4y%2FS4M2Q%3D%3D,,,
NA,LTG,Michael,L.,,Oates,,7/1/2011,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mike-oates-053a17a4?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BTywdmsu6SwqZ%2FdO0uYYqFw%3D%3D,,,
NA,MG,Kevin,G.,,O'Connell,,1/1/2017,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,John,R.,,O'Connor,,8/1/2015,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/jack-o-connor-4966086?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BHmbS9bRYTKSRFinS6Jmuug%3D%3D,,,
NA,MG,Mark,J.,,O'Neil,,10/1/2019,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/markoneilnetwork?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B%2Fk9kVer%2FT%2By%2BIIrog9DVEA%3D%3D,,,
NA,MG,Bryan,R.,,Owens,,11/1/2017,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/bryan-owens-aa1b9740?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BxvkGhR4ET3qNogX5k3hZKQ%3D%3D,,,
NA,MG,Paul,H.,,Pardew,,9/1/2021,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/paul-pardew-214a2534?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BU9HIaxdQQ36DGfQd0gDxVw%3D%3D,,,
NA,MG,Lawarren,V.,,Patterson,,12/1/2016,Army,LawarrenP,1.03E+18,Let everything that has breath praise the Lord. Psalm 150:6,0,0,0,0,0,0,0,comm,https://www.alamoafcea.org/page/majgenpatterson/Major-General-LaWarren-V.-Patterson-Bio.htm,,,https://www.linkedin.com/in/lawarren-patterson-19054129?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BzCyns90HSvey59Gv7znFzQ%3D%3D,,,
NA,MG,Gary,S.,,Patton,,9/1/2014,Army,,,,0,0,0,0,0,,,,,,,,Coverup of abuse in Afghan hospital,https://www.usatoday.com/story/news/nation/2013/12/16/military-sexual-assault-pentagon-maj-gen-gary-patton-sen-kirsten-gillibrand/4042995/,
NA,MG,John,W.,,Peabody,,9/1/2015,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/john-peabody-03599290?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B2yFXIi5FR3iY9wabWNyIzA%3D%3D,,,
NA,MG,Mark,W.,,Perrin,,7/1/2014,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,Aundre,F.,,Piggee,,12/1/2019,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/aundre-piggee-8696b31ab?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BvRJVEpgwSuqnW2ru2EG2Hw%3D%3D,Demoted for war college plagiarism,https://taskandpurpose.com/news/army-3-star-general-loses-rank-over-war-college-plagiarism/,
1,MG,Dana,H.,,Pittard,,10/1/2015,Army,DanaPittard,3381821573,"Father, Friend, & Veteran who likes fitness, fun & helping others. Co-Author, â€œHunting the Caliphate.â€ An American & Texan who listens & cares about people.",0,0,0,0,0,0,0,armor,https://www.allisontransmission.com/company/corporate-leadership,DanaPittard,y,https://www.linkedin.com/in/danapittard?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B6ILXNEiARf6G9%2B%2BxgtMjfw%3D%3D,unsubstantiated allegations of insider dealing Ft Bliss renewable energy contract,https://www.elpasotimes.com/story/news/military/ft-bliss/2015/09/27/pittard-retire-after-34-years-army/72927804/,
1,MG,Dana,H.,,Pittard,,10/1/2015,Army,FortBlissCG,47402537,See what's new at Fort Bliss here: http://t.co/Sse1o5Q4ja,0,1,0,0,0,0,0,armor,https://www.allisontransmission.com/company/corporate-leadership,DanaPittard,y,https://www.linkedin.com/in/danapittard?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B6ILXNEiARf6G9%2B%2BxgtMjfw%3D%3D,unsubstantiated allegations of insider dealing Ft Bliss renewable energy contract,https://www.elpasotimes.com/story/news/military/ft-bliss/2015/09/27/pittard-retire-after-34-years-army/72927804/,
NA,MG,Gregg,C.,,Potter,,10/1/2016,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/gregg-potter-66486b35?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BopWPp6RBQ1WcQ2RfUVdUkg%3D%3D,,,
NA,MG,Barrye,L.,,Price,,9/1/2016,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/barrye-price-85a57621?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BjaDYKomnSNixU79QSalJwQ%3D%3D,,,
NA,MG,"N. Lee,",S.,,Price,,4/1/2014,Army,General_Price,893860520,"Major General (Retired), US Army. My honor and privilege to serve our Nation for over 38 years.",0,0,0,0,1,1,0,comm,https://www.thayerleadership.com/people/faculty/major-general-lee-price,,,https://www.linkedin.com/in/generalleeprice?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B0OCMKarQRtGHSsr7ynE%2Fag%3D%3D,,,
NA,MG,Mark,R.,,Quantock,,10/1/2017,Army,Quebec610,1.07E+18,"Major General, USA (Ret), Husband, Dad, Papa... happy that we are turning the page!",0,0,0,0,0,0,0,intel,https://www.defenseone.com/voices/mark-quantock/18270/,,,https://www.linkedin.com/in/mark-quantock-a8431a150?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BvNbOargBTmKZBwICqKjKPg%3D%3D,,,
NA,MG,Robert,,,Radin,,10/1/2011,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/bob-radin-b4a68864?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BZNAuphZSRZ2s%2FCCpUv9aFA%3D%3D,,,
NA,MG,William,E.,,Rapp,,11/1/2017,Army,GenWilliamRap1,8.75E+17,Making America Great Again one day at a time. MAGA America,0,0,0,0,1,0,0,engineer,"unlikely, https://theforum.columbusstate.edu/speakers/2010/rapp.php#:~:text=Rapp%20graduated%20from%20the%20United,International%20Relations%20from%20Stanford%20University.",,,https://www.linkedin.com/in/william-rapp-phd?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bzw3bq9P%2FTBSo98iuLQrGxQ%3D%3D,,,
NA,MG,Edward,,,Reeder,Jr.,1/1/2016,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/edward-m-reeder-jr-44a80481?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BNkQdGSbhTDC9myORwz8byQ%3D%3D,,,
NA,MG,Michael,S.,,Repass,,10/1/2013,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mike-repass-1a518265?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B7BJbaxvhQdOdHoNN6OQHDA%3D%3D,,,
NA,MG,Thomas,J.,,Richardson,,7/1/2014,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/tom-richardson-9292688a?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B49HUl%2FxURwyeTTxgOh9pcg%3D%3D,,,
NA,MG,Ross,E.,,Ridge,,10/1/2015,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/reridge?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BwnHfSceeSEqZuKDMHtAbAQ%3D%3D,,,
NA,MG,Don,T.,,Riley,,9/1/2010,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/don-riley-4aa85922?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BV6UghQ7dR2WIPXCJHDa6qw%3D%3D,,,
NA,MG,James,E.,,Rogers,,9/1/2012,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/james-rogers-1a023b48?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BjMUISgIXS1mR45me0%2BznJg%3D%3D,,,
NA,MG,Richard,J.,,Rowe,Jr.,1/1/2011,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/richard-rowe-8372b22a?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BwCTsnhW0TmKx%2BPP51ysEqQ%3D%3D,,,
NA,MG,David,A.,,Rubenstein,,6/1/2012,Army,rubensteinda,531399121,"35-year Army career (Major General). Now shares lessons as professor, speaker, & seminar leader developing the next generation of healthcare leaders & mentors.",0,0,0,0,0,0,0,medical,"https://silvercaduceusassociation.org/about/board-members/david-rubenstein#:~:text=In%20addition%20to%20serving%20as,Army's%20Europe%20Regional%20Medical%20Command.",,,https://www.linkedin.com/in/david-rubenstein-fache?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BtWs5fFR4TeGdlgj7WTiSxw%3D%3D,,,
NA,MG,Donald,L.,,Rutherford,,10/1/2015,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,Kurt,J.,,Ryan,,9/1/2021,Army,JustKurtRyan,,,0,0,0,0,1,0,0,logistics,https://www.army.mil/article/169906/ryan_takes_command_of_sddc,JustKurtRyan,y,https://www.linkedin.com/in/kurt-ryan-patriot?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BCi%2F9R7XURpaR33TQKiOLOA%3D%3D,,,
NA,MG,Patrick,D.,,Sargent,,4/1/2020,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/patrick-sargent-fache-0a536912?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BfsSU0wIcQfeddTukDlBNSw%3D%3D,,,
NA,MG,Kent,D.,,Savre,,12/1/2018,Army,KentDS1960,1635918156,,0,NA,0,0,0,0,0,engineer,"likely, https://ocsalumni.org/at_biz_dir/kent-d-savre/",,,https://www.linkedin.com/in/kent-savre-46b10249?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BCjqlF5POQSGLiJPmav3kmA%3D%3D,,,
NA,MG,Jeffrey,J.,,Schloesser,,9/1/2010,Army,,,,0,0,0,0,0,,,,,,,,Blog and book,https://jeffschloesser.com/,
NA,MG,Steven,A.,,Shapiro,,8/1/2020,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/steven-shapiro-359a481aa?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3By%2BAnVhMSTUm2vchFlO6gkw%3D%3D,,,
NA,MG,Wilson,A.,,Shoffner Jr.,,4/1/2020,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,James,E.,,Simpson,,9/1/2018,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/james-simpson-80b03619?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BB575P7idSNqe2fJ3a0Zf2Q%3D%3D,,,
NA,MG,Jefforey,A.,,Smith,,8/1/2016,Army,JefforeySmith,3507115695,,0,0,0,0,0,0,0,infantry,"likely, https://louisville.edu/mcconnellcenter/news/s/lectures/leadership-lessons-from-combat-a-conversation-with-major-general-jefforey-smith",,,https://www.linkedin.com/in/jefforey-a-smith-a5533943?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BoyLETg%2F4RJOQRnp7DZTbkA%3D%3D,,,
NA,MG,Jeffrey,J.,,Snow,,10/1/2018,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/jeffrey-snow?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BZTiWs2E3SySNQK6wpwHRAg%3D%3D,,,
NA,MG,Kurt,L.,,Sonntag,,2/1/2020,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/kurtsonntag?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BrI1gBxH5S52E%2BfkzfvtINQ%3D%3D,,,
NA,MG,Mark,R.,,Stammer,,1/1/2020,Army,MarkStammer6,1.04E+18,"Commanding General of the U.S. Army South. Fort Sam Houston, Joint Base San Antonio, Texas. Major  (Following & RTs â‰  Endorsement)",0,NA,0,0,0,0,0,infantry,"unlikely,  https://www.ausa.org/people/mg-mark-r-stammer#:~:text=Commanding%20General%2C%20United%20States%20Army,commissioned%20as%20an%20Infantry%20Officer.",,,https://www.linkedin.com/in/mark-stammer?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BTU5cdNU2SnWZbb09pfU1kQ%3D%3D,,,
NA,MG,Kurt,J.,,Stein,,6/1/2014,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/kurt-stein-53521516?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BJ53%2F%2BlCzShi339iYezzShA%3D%3D,,,
NA,MG,Richard,L.,,Stevens,,11/1/2017,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/richard-stevens-b39923175?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BB%2F6f8Dr9QSyrYw5GvxCC1A%3D%3D,"political aspirations, blocked from running",https://www.wthr.com/article/news/politics/retired-general-blocked-from-indiana-congressional-race-0/531-bdf0234c-9d93-4079-a675-6d33ffafd658,
NA,MG,Randolph,P.,,Strong,,7/1/2012,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/randy-strong-ab818749?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BF20SXmMcS%2BK4t%2Bti%2BUqIyQ%3D%3D,,,
NA,MG,Frank,W.,,Tate,,4/1/2021,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/frankwtate?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BAnjMvOedTSaYWAPc%2B%2B%2BX5Q%3D%3D,,,
NA,MG,Clyde,J.,,Tate II,,1/1/2014,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/clyde-tate-67395456?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BsuDL24MfSzuy0TQi7nF5EQ%3D%3D,,,
NA,MG,Randy,S.,,Taylor,,10/1/2020,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,Thomas,R.,,Tempel,Jr.,8/1/2018,Army,tempelt,21572870,,0,0,0,0,0,0,0,medical,"http://healthleaderforge.blogspot.com/2017/06/major-general-thomas-r-tempel-jr.html#:~:text=Major%20General%20Tempel%20is%20a,support%20of%20Operation%20Iraqi%20Freedom.",,,https://www.linkedin.com/in/thomas-tempel-67ba2341?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BCVPPzvwaR4idiCAOpeKh%2Fw%3D%3D,,,
NA,MG,Robert,D.,,Tenhet,,9/1/2018,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/robert-tenhet-55554b65?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3Bk9YWYa3PQWqyHUBq6G9jLw%3D%3D,,,
NA,MG,Michael,J.,,Terry,,9/1/2014,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,Richard,W.,,Thomas,,5/1/2016,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/richard-thomas-72aa9b199?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BjiZ%2Fizl1S76fEDWmfxr3yA%3D%3D,,,
NA,MG,Simeon,G.,,Trombitas,,9/1/2015,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,Abraham,J.,,Turner,,9/1/2011,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,Frank,D.,,Turner III,,10/1/2014,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,John,,,Uberti,,12/1/2017,Army,UbertiJohn,1.04E+18,I'm a lover of knowledge and nature.,0,NA,0,0,0,0,0,FA,"questionable, https://kdhnews.com/fort_hood_herald/across_the_fort/fort-hood-welcomes-new-leadership-during-phantom-honors-farewell/article_c590b01a-5087-11e7-9eb1-1f57f6090eca.html",,,https://www.linkedin.com/in/johnuberti?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3ByrO0ofN3QJi%2FIH%2BTC%2FiEiQ%3D%3D,,,
NA,MG,Peter,D.,,Utley,,1/1/2019,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,Kirk,F.,,Vollmecke,,9/1/2019,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/vollmeckek?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BrFdwLlY8R6OvvZk8nPqmDQ%3D%3D,,,
NA,MG,Philip,,,Volpe,,6/1/2013,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/philip-volpe-526858195?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BYxfCBBf2QfmlorkdoJD9Ig%3D%3D,,,
NA,MG,Daniel,R.,,Walrath,,10/1/2021,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/dwalrath5?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B2frdDXsCRWOUgw%2FPcA3GzQ%3D%3D,,,
NA,MG,Michael,J.,,Walsh,,12/1/2013,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mg-michael-j-walsh-usa-ret-4aa6a862?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BM%2BffLUvdQ9yBEKwjjAziFg%3D%3D,,,
NA,MG,Robert,P.,,Walters,Jr.,11/1/2019,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/robert-walters-a3651aaa?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BOqoLCthMQWWaFHyztrM2tg%3D%3D,,,
NA,MG,Bryan,G.,,Watson,,9/1/2016,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/bryan-watson-b10473113?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BA7TfgqzhRByGoHZM2K9CSw%3D%3D,,,
NA,MG,Michael,C.,,Wehr,,11/1/2021,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/mike-wehr?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BTSAY7Na7SZmhsYOEIJVGEw%3D%3D,,,
NA,MG,Kevin,R.,,Wendel,,2/1/2015,Army,,,,0,0,0,0,0,,,,,,,,,,
NA,MG,Scott,G.,,West,,4/1/2010,Army,,,,0,0,0,0,0,,,,,,,https://www.linkedin.com/in/scott-west-8462061b?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BkCPwdF9MTV6SyWDJSG7auA%3D%3D,,,
